# Portfolio Value: 498862.39, Gross Notional: 734515.25, Net Notional: 388795.25, Date: 2025-09-02
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
NQ.v.0,1.00,23444.50,46889.00,6.38,9.40,9.89,0.152865,23530.584371,23455.292908,23057.734374,21879.191125
ZR.v.0,-1.000000,12.215000,-24430.000000,3.326003,4.897142,-13.766281,0.257090,12.112524,12.427841,12.684806,13.257382
6E.v.0,0.000000,1.172500,0.000000,0.000000,0.000000,7.709754,0.074083,1.169361,1.168002,1.163673,1.130228
HE.v.0,0.000000,95.000000,0.000000,0.000000,0.000000,1.009817,0.431824,92.973103,93.645611,95.943748,95.066556
6M.v.0,2.000000,0.053550,53550.000000,7.290523,10.734423,12.361633,0.075845,0.053495,0.053313,0.052937,0.051333
CL.v.0,-1.000000,64.640000,-64640.000000,8.800362,12.957481,-4.254212,0.233914,64.031043,64.442942,65.023592,66.298824
6J.v.0,0.000000,0.006809,0.000000,0.000000,0.000000,-0.545572,0.081762,0.006806,0.006810,0.006832,0.006806
PL.v.0,1.000000,1430.200000,71510.000000,9.735673,14.334614,14.968069,0.297801,1374.233187,1361.826901,1331.753752,1178.944915
UB.v.0,0.000000,115.781250,0.000000,0.000000,0.000000,-10.484126,0.096870,116.591049,117.049611,117.160841,118.393132
GC.v.0,0.000000,3551.800000,0.000000,0.000000,0.000000,17.181790,0.151313,3482.826050,3422.307713,3385.989152,3211.547517
GF.v.0,0.000000,365.200000,0.000000,0.000000,0.000000,20.000000,0.200561,360.774363,345.225121,331.230218,303.429645
ZL.v.0,0.000000,52.100000,0.000000,0.000000,0.000000,2.962635,0.279517,53.012514,53.398455,52.619488,49.347422
ZM.v.0,0.000000,288.700000,0.000000,0.000000,0.000000,-3.346945,0.232265,290.317509,288.170166,288.036813,291.969779
HG.v.0,0.000000,4.582500,0.000000,0.000000,0.000000,-3.797683,0.337816,4.539967,4.650665,4.780827,4.751911
6B.v.0,1.000000,1.354900,84681.250000,11.528862,16.974872,7.253931,0.058327,1.351075,1.348449,1.346573,1.323333
RB.v.0,-1.000000,1.995000,-83790.000000,11.407524,16.796215,-10.141933,0.388683,1.977901,2.018410,2.055010,2.087455
RTY.v.0,1.000000,2366.000000,118300.000000,16.105860,23.713954,14.554969,0.180455,2361.705924,2305.013921,2256.417921,2188.603224
LE.v.0,0.000000,239.800000,0.000000,0.000000,0.000000,20.000000,0.207468,237.083286,230.006313,223.941684,211.639353
6S.v.0,0.000000,1.251650,0.000000,0.000000,0.000000,7.448302,0.070447,1.249396,1.248339,1.244939,1.208266
6N.v.0,0.000000,0.590700,0.000000,0.000000,0.000000,-0.999328,0.073245,0.588969,0.591827,0.594081,0.589412
KE.v.0,0.000000,519.250000,0.000000,0.000000,0.000000,-9.941792,0.234259,518.050682,520.313216,526.425018,543.378257
ZC.v.0,0.000000,420.000000,0.000000,0.000000,0.000000,-3.813628,0.242491,411.067496,410.929585,419.566508,439.977272
6C.v.0,1.000000,0.727850,72785.000000,9.909256,14.590196,6.529283,0.042332,0.726531,0.726781,0.727402,0.720491
SI.v.0,0.000000,41.650000,0.000000,0.000000,0.000000,20.000000,0.251375,39.939313,38.642605,37.762796,35.185920
ZN.v.0,0.000000,112.328125,0.000000,0.000000,0.000000,15.660618,0.040403,112.291201,111.894035,111.584632,110.897471
YM.v.0,5.000000,45576.000000,113940.000000,15.512272,22.839966,16.788839,0.106327,45545.099039,45030.281885,44487.395802,43455.544599
ZS.v.0,0.000000,1053.000000,0.000000,0.000000,0.000000,8.696658,0.145694,1047.140538,1032.028940,1031.191377,1030.121171
ZW.v.0,0.000000,533.750000,0.000000,0.000000,0.000000,-5.245561,0.207216,528.023262,527.003949,531.916509,541.755940
