# Portfolio Value: 499293.16, Gross Notional: 1060470.10, Net Notional: 51272.90, Date: 20251009
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
6E.v.0,0.00,1.17,0.00,0.00,0.00,-0.78,0.069872,1.173642,1.175326,1.171848,1.144510
ZN.v.0,0.000000,112.703125,0.000000,0.000000,0.000000,9.483517,0.036864,112.629287,112.643975,112.365365,111.417569
6M.v.0,3.000000,0.054170,81255.000000,7.662168,16.274006,12.506412,0.069894,0.054018,0.053847,0.053537,0.052053
NQ.v.0,2.000000,25378.750000,101515.000000,9.572641,20.331743,20.000000,0.133895,25080.667703,24574.784781,24048.514103,22578.967417
ZR.v.0,-2.000000,10.715000,-42860.000000,4.041604,8.584135,-20.000000,0.215078,11.014105,11.504449,11.930126,12.746453
CL.v.0,-1.000000,62.050000,-62050.000000,5.851179,12.427569,-10.228221,0.230573,62.053722,62.975907,63.675688,65.359647
6J.v.0,-1.000000,0.006590,-82375.000000,7.767781,16.498323,-14.506503,0.092644,0.006705,0.006770,0.006794,0.006807
PL.v.0,1.000000,1677.800000,83890.000000,7.910643,16.801752,20.000000,0.298685,1636.417849,1520.744282,1448.646734,1266.367374
UB.v.0,0.000000,120.656250,0.000000,0.000000,0.000000,9.676714,0.089455,120.203798,119.731099,119.019849,118.584252
GC.v.0,0.000000,4030.100000,0.000000,0.000000,0.000000,20.000000,0.147387,3949.376274,3777.662212,3648.111699,3378.788742
SI.v.0,0.000000,48.120000,0.000000,0.000000,0.000000,20.000000,0.235371,47.564632,44.657918,42.307331,37.733892
6C.v.0,-1.000000,0.718800,-71880.000000,6.778126,14.396352,-7.940471,0.039804,0.719463,0.722514,0.724316,0.721367
YM.v.0,7.000000,46899.000000,164146.500000,15.478654,32.875776,17.129428,0.093100,46843.204351,46332.728519,45705.812749,44153.288321
6B.v.0,0.000000,1.340100,0.000000,0.000000,0.000000,-1.322661,0.063665,1.344044,1.347258,1.347491,1.331548
RB.v.0,-2.000000,1.900400,-159633.600000,15.053098,31.971918,-17.488951,0.277593,1.900262,1.940891,1.981351,2.055693
RTY.v.0,1.000000,2501.300000,125065.000000,11.793355,25.048411,18.040345,0.152600,2481.637248,2435.966105,2377.038430,2245.323022
LE.v.0,0.000000,239.000000,0.000000,0.000000,0.000000,14.674381,0.177765,236.422941,234.483152,230.498107,218.361076
ZM.v.0,-1.000000,278.100000,-27810.000000,2.622422,5.569874,-16.797043,0.183633,277.228975,280.891109,283.452715,289.274752
GF.v.0,0.000000,369.100000,0.000000,0.000000,0.000000,15.353773,0.211079,360.956465,355.279070,346.039253,318.390243
ZL.v.0,0.000000,51.340000,0.000000,0.000000,0.000000,2.383528,0.238424,50.594668,51.185709,51.581284,49.922243
HG.v.0,0.000000,5.057500,0.000000,0.000000,0.000000,11.687898,0.255210,5.007980,4.815672,4.789652,4.773288
6S.v.0,0.000000,1.256750,0.000000,0.000000,0.000000,1.962164,0.077231,1.263536,1.262522,1.257103,1.224838
6N.v.0,-1.000000,0.579900,-57990.000000,5.468330,11.614419,-10.599727,0.073820,0.582560,0.586412,0.589411,0.588962
KE.v.0,0.000000,493.000000,0.000000,0.000000,0.000000,-18.159943,0.225826,496.716918,506.215874,513.775919,533.727770
ZC.v.0,0.000000,422.000000,0.000000,0.000000,0.000000,-3.588312,0.214252,420.820619,419.447213,420.559183,435.977844
ZS.v.0,0.000000,1029.750000,0.000000,0.000000,0.000000,-1.862998,0.138453,1020.077701,1023.923819,1026.828693,1030.065897
HE.v.0,0.000000,86.125000,0.000000,0.000000,0.000000,-14.026728,0.375755,87.360835,90.522737,92.897082,94.635680
ZW.v.0,0.000000,507.500000,0.000000,0.000000,0.000000,-18.143202,0.212434,511.620071,518.392269,523.624560,535.390973
