# Portfolio Value: 496592.39, Gross Notional: 547438.45, Net Notional: -243131.45, Date: 20251011
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
NQ.v.0,1.00,24188.00,48376.00,8.84,9.74,6.19,0.203349,24926.255771,24594.624608,24091.209804,22619.705482
ZR.v.0,-1.000000,10.665000,-21330.000000,3.896328,4.295273,-20.000000,0.221681,10.909891,11.416883,11.859168,12.707732
6E.v.0,0.000000,1.166150,0.000000,0.000000,0.000000,-2.393444,0.071264,1.169732,1.173934,1.171340,1.144975
HE.v.0,0.000000,83.950000,0.000000,0.000000,0.000000,-18.213052,0.363703,86.099764,89.778648,92.369029,94.437534
6M.v.0,0.000000,0.053390,0.000000,0.000000,0.000000,2.724972,0.079314,0.053879,0.053829,0.053547,0.052083
CL.v.0,-1.000000,58.240000,-58240.000000,10.638639,11.727928,-17.256674,0.288624,61.124351,62.609409,63.445784,65.253664
6J.v.0,-1.000000,0.006658,-83218.750000,15.201481,16.757959,-14.451073,0.098949,0.006672,0.006752,0.006784,0.006804
PL.v.0,1.000000,1620.800000,81040.000000,14.803491,16.319219,17.956350,0.308649,1638.457711,1535.209056,1460.504630,1273.620107
UB.v.0,0.000000,122.375000,0.000000,0.000000,0.000000,14.821718,0.102154,120.710477,119.926215,119.162577,118.628876
GC.v.0,0.000000,4035.500000,0.000000,0.000000,0.000000,20.000000,0.148179,3978.405401,3806.322876,3670.748901,3391.444340
GF.v.0,0.000000,376.600000,0.000000,0.000000,0.000000,18.749896,0.208444,366.713170,357.645631,347.820766,319.500039
ZL.v.0,0.000000,49.970000,0.000000,0.000000,0.000000,-1.449642,0.237480,50.520725,51.099748,51.513368,49.934572
ZM.v.0,-1.000000,275.600000,-27560.000000,5.034356,5.549823,-18.677369,0.177861,276.758269,280.326129,283.006014,289.020529
HG.v.0,0.000000,4.845000,0.000000,0.000000,0.000000,4.631354,0.328745,4.997951,4.837024,4.802396,4.778064
6B.v.0,0.000000,1.335500,0.000000,0.000000,0.000000,-4.598949,0.065934,1.339787,1.345585,1.346613,1.331672
RB.v.0,-1.000000,1.808600,-75961.200000,13.875752,15.296489,-20.000000,0.295403,1.876252,1.929361,1.972986,2.051905
RTY.v.0,0.000000,2384.200000,0.000000,0.000000,0.000000,5.987285,0.207176,2461.499076,2435.927849,2380.640927,2248.626957
LE.v.0,0.000000,242.600000,0.000000,0.000000,0.000000,18.418919,0.175789,238.396594,235.283481,231.151907,218.807595
6S.v.0,0.000000,1.260350,0.000000,0.000000,0.000000,1.424491,0.082087,1.260376,1.261641,1.256973,1.225525
6N.v.0,-1.000000,0.573750,-57375.000000,10.480630,11.553741,-17.273605,0.073869,0.579598,0.585094,0.588551,0.588737
KE.v.0,0.000000,483.750000,0.000000,0.000000,0.000000,-20.000000,0.222028,492.760852,503.959548,512.155306,532.826137
ZC.v.0,0.000000,413.500000,0.000000,0.000000,0.000000,-7.232945,0.211659,418.792720,419.032846,420.279957,435.583921
6C.v.0,-1.000000,0.716000,-71600.000000,13.079096,14.418264,-11.980203,0.041258,0.717982,0.721711,0.723793,0.721292
SI.v.0,0.000000,47.515000,0.000000,0.000000,0.000000,20.000000,0.232564,47.588234,45.007970,42.630665,37.923066
ZN.v.0,0.000000,113.281250,0.000000,0.000000,0.000000,13.832585,0.042123,112.762624,112.677959,112.399462,111.446090
YM.v.0,1.000000,45475.000000,22737.500000,4.153435,4.578705,5.677588,0.126883,46506.629792,46299.092856,45727.043831,44187.332447
ZS.v.0,0.000000,1007.000000,0.000000,0.000000,0.000000,-7.823974,0.142067,1017.460585,1022.774366,1026.065452,1029.771367
ZW.v.0,0.000000,498.750000,0.000000,0.000000,0.000000,-20.000000,0.212409,508.134364,516.610161,522.391253,534.772013
