# Portfolio Value: 480701.49, Gross Notional: 905834.55, Net Notional: -40272.55, Date: 2025-10-27
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
6E.v.0,0.00,1.17,0.00,0.00,0.00,0.60,0.065117,1.166182,1.169691,1.169679,1.148912
ZN.v.0,0.000000,113.265625,0.000000,0.000000,0.000000,12.977754,0.042086,113.428363,113.109242,112.749378,111.707212
6M.v.0,2.000000,0.053980,53980.000000,5.959146,11.229422,7.244003,0.072855,0.053952,0.053882,0.053671,0.052344
NQ.v.0,2.000000,25717.750000,102871.000000,11.356489,21.400183,15.519015,0.191901,25310.676954,24909.196626,24438.513464,22910.106044
ZR.v.0,-2.000000,10.460000,-41840.000000,4.618945,8.703946,-20.000000,0.221933,10.526019,11.013595,11.509090,12.468934
CL.v.0,0.000000,61.920000,0.000000,0.000000,0.000000,-4.122932,0.292788,60.161290,60.757101,62.014837,64.491177
6J.v.0,-1.000000,0.006565,-82062.500000,9.059325,17.071405,-18.894217,0.083517,0.006607,0.006681,0.006731,0.006790
PL.v.0,0.000000,1591.200000,0.000000,0.000000,0.000000,4.975287,0.457067,1604.092021,1585.344836,1517.222977,1319.402941
UB.v.0,0.000000,122.437500,0.000000,0.000000,0.000000,16.316554,0.095997,122.850972,121.543281,120.375397,119.060036
GC.v.0,0.000000,4078.200000,0.000000,0.000000,0.000000,8.658516,0.286923,4145.210075,4014.696050,3842.473775,3495.012344
SI.v.0,0.000000,48.140000,0.000000,0.000000,0.000000,8.527810,0.400265,48.934315,47.630918,45.044929,39.421118
6C.v.0,-1.000000,0.716350,-71635.000000,7.908177,14.902180,-7.243729,0.036050,0.715948,0.718213,0.720975,0.720980
YM.v.0,5.000000,47662.000000,119155.000000,13.154168,24.787733,18.493390,0.130354,47034.566362,46570.409993,46065.148589,44480.089194
6B.v.0,-1.000000,1.332100,-83256.250000,9.191110,17.319740,-5.784357,0.057444,1.335028,1.340474,1.343274,1.333406
RB.v.0,-1.000000,1.876900,-78829.800000,8.702450,16.398909,-10.556011,0.280956,1.841473,1.872246,1.923633,2.028060
RTY.v.0,1.000000,2547.700000,127385.000000,14.062723,26.499814,15.031895,0.215820,2505.495629,2469.520078,2418.686874,2275.206863
LE.v.0,0.000000,233.925000,0.000000,0.000000,0.000000,4.491686,0.207349,240.645532,238.689267,234.329103,221.694515
ZM.v.0,1.000000,293.900000,29390.000000,3.244522,6.113981,7.794966,0.167792,286.755202,282.119496,283.141555,288.424676
GF.v.0,0.000000,348.175000,0.000000,0.000000,0.000000,1.353551,0.225442,364.163984,362.997249,353.832238,325.582860
ZL.v.0,0.000000,50.290000,0.000000,0.000000,0.000000,-1.815816,0.223925,50.601699,50.905024,51.297393,50.185074
HG.v.0,0.000000,5.207000,0.000000,0.000000,0.000000,10.869873,0.315667,5.076642,4.953325,4.882382,4.817588
6S.v.0,0.000000,1.263000,0.000000,0.000000,0.000000,4.544278,0.075067,1.264217,1.262880,1.259216,1.231360
6N.v.0,-2.000000,0.577150,-115430.000000,12.742945,24.012823,-11.226113,0.061212,0.575919,0.579489,0.583987,0.587502
KE.v.0,0.000000,501.750000,0.000000,0.000000,0.000000,-7.959648,0.210065,493.820427,498.149344,506.462832,528.481640
ZC.v.0,0.000000,424.000000,0.000000,0.000000,0.000000,-0.575355,0.192742,422.696002,420.075423,420.430431,434.035951
ZS.v.0,0.000000,1041.750000,0.000000,0.000000,0.000000,5.628068,0.129302,1031.405732,1024.381982,1025.816580,1030.589718
HE.v.0,0.000000,81.800000,0.000000,0.000000,0.000000,-20.000000,0.313770,82.677253,86.475710,89.782336,93.542341
ZW.v.0,0.000000,513.000000,0.000000,0.000000,0.000000,-9.670066,0.193549,507.090460,511.053891,517.504930,531.720482
