volume,close,returns,vix_close,credit_spreads_high_yield_spread,growth_nonfarm_payrolls,growth_unemployment_rate,growth_manufacturing_capacity_util,growth_industrial_production,growth_retail_sales,growth_gdp,growth_consumer_sentiment,inflation_cpi,inflation_breakeven_5y,liquidity_m2_money_supply,liquidity_ted_spread,market_dxy,market_tips_10y,market_gdp_nowcast,market_wti_crude,yield_curve_treasury_2y,yield_curve_treasury_10y,yield_curve_yield_spread_10y_2y,yield_curve_fed_funds_rate,lagged_vol,target_vol,abs_return
124921,2.91,0.007935180502603063,9.970000267028809,3.42,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.76,13843.5,0.27,111.0375,0.52,1.8466,51.63,1.6,2.39,0.79,1.16,0.001681274330831755,0.0068835000475983045,0.007935180502603063
102726,2.97,-0.004367552718003226,11.069999694824219,3.4,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.69,13843.5,0.29,111.2134,0.52,1.8466,51.91,1.58,2.38,0.8,1.16,0.0068835000475983045,0.005833783953021743,0.004367552718003226
61186,2.99,0.006711434587986778,11.15999984741211,3.38,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.73,13843.5,0.27,111.4027,0.55,1.8466,52.32,1.6,2.42,0.82,1.16,0.005833783953021743,0.01318581803956148,0.006711434587986778
41514,2.93,-0.020270964373619107,11.229999542236328,3.42,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.74,13843.5,0.27,111.3904,0.56,1.8466,51.97,1.61,2.44,0.83,1.16,0.01318581803956148,0.012134978496035762,0.020270964373619107
22528,2.892,-0.013054118732457813,11.300000190734863,3.41,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.76,13843.5,0.29,111.6418,0.57,1.8466,52.41,1.63,2.46,0.83,1.16,0.012134978496035762,0.01710217453577486,0.013054118732457813
173126,2.96,0.023240964039450668,9.800000190734863,3.44,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.76,13843.5,0.3,112.1495,0.54,1.8466,53.92,1.59,2.42,0.83,1.16,0.01710217453577486,0.015557339372525899,0.023240964039450668
98236,2.986,0.011113096355213209,10.5,3.49,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.77,13843.5,0.28,111.901,0.5,1.8466,54.11,1.58,2.37,0.79,1.16,0.015557339372525899,0.01975076619513491,0.011113096355213209
139905,2.902,-0.028534544655002568,10.180000305175781,3.51,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.79,13843.5,0.25,111.8052,0.5,1.8466,54.36,1.6,2.38,0.78,1.16,0.01975076619513491,0.017564437648782568,0.028534544655002568
136686,2.904,0.0006889425005535614,10.199999809265137,3.48,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.71,13843.5,0.22,111.7942,0.49,1.8466,54.32,1.61,2.37,0.76,1.16,0.017564437648782568,0.01656647318155991,0.0006889425005535614
133152,2.934,0.01027758275824045,9.930000305175781,3.52,147372.0,4.2,78.1803,101.2664,480949.0,20917.867,98.5,247.284,1.79,13843.5,0.24,111.5474,0.48,1.8466,54.55,1.61,2.35,0.74,1.16,0.01656647318155991,0.017103319577315826,0.01027758275824045
