symbol,quantity,avg_price,market_price,notional,unrealized_pnl,realized_pnl,forecast
6E.v.0,0,1.17065,1.17065,0,0,0,7.3909
ZN.v.0,0,113.25,113.25,0,0,0,20
6M.v.0,2,0.05365,0.05365,0.1073,0,0,12.5366
NQ.v.0,2,24000,23885.8,48000,0,-11425,15.0016
ZR.v.0,-1,11.66,11.66,-11.66,0,0,-18.3644
CL.v.0,-1,63.02,63.02,-63.02,0,0,-9.6071
6J.v.0,0,0.0068085,0.0068085,0,0,0,0.00844862
PL.v.0,1,1377.8,1377.8,1377.8,0,0,11.9026
UB.v.0,0,119.656,119.656,0,0,0,6.14854
GC.v.0,0,3671.1,3671.1,0,0,20422,18.7962
SI.v.0,0,41.36,41.36,0,0,0,20
6C.v.0,0,0.7224,0.7224,0,0,0,-2.01336
YM.v.0,5,45501.1,45652,227505,0,9961.11,15.8668
6B.v.0,0,1.3464,1.3464,0,0,-0.3625,0.740611
RB.v.0,-1,1.9988,1.9176,-1.9988,0,3.4104,-17.564
RTY.v.0,1,2374.6,2374.6,2374.6,0,0,15.4274
LE.v.0,0,230.025,230.025,0,0,0,11.5846
ZM.v.0,0,284.2,284.2,0,0,0,-8.97988
GF.v.0,0,354.175,354.175,0,0,0,10.6713
ZL.v.0,0,50.59,50.59,0,0,0,-1.11442
HG.v.0,0,4.567,4.567,0,0,0,-4.86671
6S.v.0,0,1.2548,1.2548,0,0,0,8.98697
6N.v.0,-1,0.5868,0.5868,-0.5868,0,0,-6.00595
KE.v.0,0,509.25,509.25,0,0,0,-12.6032
ZC.v.0,0,419.5,419.5,0,0,0,-2.85818
ZS.v.0,0,1030.5,1030.5,0,0,0,1.23011
HE.v.0,0,96.15,96.15,0,0,0,2.3599
ZW.v.0,0,519.5,519.5,0,0,0,-12.6643
