symbol,quantity,avg_price,market_price,notional,daily_realized_pnl,daily_unrealized_pnl,forecast,contract_size
NQ.v.0,2,24720.2,24726.5,98906,25,0,17.9338,2
ZR.v.0,-1,11.28,11.275,-22550,10,0,-20,2000
6M.v.0,2,0.05395,0.05401,54010,60,0,11.0795,500000
PL.v.0,1,1588.5,1589.8,79490,65,0,19.9989,50
ZM.v.0,-1,275.25,274.9,-27490,35,0,-20,100
RB.v.0,-1,1.98,1.9787,-83105.4,54.6,0,-10.674,42000
RTY.v.0,1,2448.8,2449.2,122460,20,0,14.6867,50
6N.v.0,-1,0.5792,0.5791,-57910,10,0,-13.3363,100000
6C.v.0,-1,0.72,0.71985,-71985,15,0,-7.64303,100000
YM.v.0,5,46540,46555,116388,37.5,0,16.0299,0.5
