# FINALIZED P&L FOR 20250101
# Portfolio Value: $502187.92, Daily P&L: $2210.03, Daily Return: 0.4401%
symbol,quantity,entry_price,exit_price,realized_pnl,commission,point_value,notional
6N.v.0,-2.0000,0.5602,0.5597,80.0000,0.0000,100000.0000,-111950.0000
6B.v.0,-2.0000,1.2513,1.2374,1737.5000,0.0000,62500.0000,-154675.0000
6C.v.0,-2.0000,0.6976,0.6960,300.0000,0.0000,100000.0000,-139210.0000
HG.v.0,-1.0000,4.0320,4.0275,112.5000,0.0000,25000.0000,-100687.5000
6S.v.0,-1.0000,1.1104,1.1050,681.2500,0.0000,125000.0000,-138125.0000
PL.v.0,-1.0000,912.4000,927.5000,-755.0000,0.0000,50.0000,-46375.0000
NQ.v.0,1.0000,21268.0000,21163.5000,-209.0000,0.0000,2.0000,42327.0000
6J.v.0,-1.0000,0.0064,0.0064,-187.5000,0.0000,12500000.0000,-80100.0000
ZR.v.0,-1.0000,14.1250,14.1100,30.0000,0.0000,2000.0000,-28220.0000
6E.v.0,-1.0000,1.0383,1.0299,1043.7500,0.0000,125000.0000,-128743.7500
6M.v.0,-2.0000,0.0474,0.0480,-600.0000,0.0000,500000.0000,-47970.0000
