# FINALIZED P&L FOR 20250102
# Portfolio Value: $500372.83, Daily P&L: $-1815.09, Daily Return: -0.3627%
symbol,quantity,entry_price,exit_price,realized_pnl,commission,point_value,notional
6S.v.0,-1.0000,1.1050,1.1093,-537.5000,0.0000,125000.0000,-138662.5000
6N.v.0,-2.0000,0.5597,0.5616,-380.0000,0.0000,100000.0000,-112330.0000
HG.v.0,-1.0000,4.0275,4.0765,-1225.0000,0.0000,25000.0000,-101912.5000
YM.v.0,-1.0000,42679.0000,42995.0000,-158.0000,0.0000,0.5000,-21497.5000
6E.v.0,-1.0000,1.0299,1.0340,-506.2500,0.0000,125000.0000,-129250.0000
ZR.v.0,-1.0000,14.1100,13.9250,370.0000,0.0000,2000.0000,-27850.0000
6C.v.0,-2.0000,0.6960,0.6939,430.0000,0.0000,100000.0000,-138780.0000
NQ.v.0,1.0000,21163.5000,21493.0000,659.0000,0.0000,2.0000,42986.0000
6B.v.0,-2.0000,1.2374,1.2418,-550.0000,0.0000,62500.0000,-155225.0000
6M.v.0,-2.0000,0.0480,0.0478,130.0000,0.0000,500000.0000,-47840.0000
PL.v.0,-1.0000,927.5000,946.3000,-940.0000,0.0000,50.0000,-47315.0000
6J.v.0,-1.0000,0.0064,0.0064,-25.0000,0.0000,12500000.0000,-80125.0000
CL.v.0,1.0000,73.1300,74.0700,940.0000,0.0000,1000.0000,74070.0000
